price,mantage,metrage,sal,otag,tabage,vshed_status,lat,long,tehdad_vahed,asansor,parking,anbari
10849999872,east-shareq,75,1404.0,2.0,۴,بازسازی نشده,35.716485942783,51.462579758834,1.0,آسانسور دارد,پارگینگ ندارد,انباری دارد
7797000192,khalij-e-fars,69,1391.0,2.0,۲ از ۱۰,بازسازی نشده,35.670131229695,51.267554416345,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
16800000000,azad-shahr,120,1404.0,2.0,۴,بازسازی نشده,35.74681207834,51.193703593968,,آسانسور دارد,پارگینگ دارد,انباری دارد
19399999488,sadeghiyeh,91,1394.0,2.0,۴,بازسازی نشده,35.725760040532,51.343198549958,,آسانسور دارد,پارگینگ دارد,انباری دارد
400000000,tayeb,105,1403.0,2.0,۲ از ۵,بازسازی نشده,35.660063971712,51.449708742856,4.0,آسانسور دارد,پارگینگ دارد,انباری دارد
13500000256,kooy-e-ferdos,62,1402.0,1.0,۴,بازسازی نشده,35.725295874926,51.309426770469,,آسانسور دارد,پارگینگ دارد,انباری دارد
6200000000,hashemi,52,1384.0,1.0,همکف از ۴,بازسازی شده,35.68463516235352,51.35946273803711,2.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
6499999744,tehransar,75,1403.0,2.0,۳,بازسازی نشده,35.689317496942,51.255690128647,,آسانسور دارد,پارگینگ دارد,انباری دارد
6000000000,afsariye-jonubi,66,1383.0,2.0,۲ از ۴,بازسازی شده,35.642049575082,51.489141907696,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
3600000000,chitgar,58,1400.0,1.0,۲,بازسازی نشده,35.716069746829,51.182261606684,,آسانسور دارد,پارگینگ دارد,انباری دارد
67000000512,kamraniyeh,115,1404.0,2.0,۵ از ۲,بازسازی نشده,35.805519575315,51.459485008616,5.0,آسانسور دارد,پارگینگ دارد,انباری دارد
2520000000,azad-shahr,120,1404.0,3.0,۲۷ از +۳۰,بازسازی نشده,35.75031609594,51.175395507471,8.0,آسانسور دارد,پارگینگ دارد,انباری دارد
5800000000,jeyhoun,67,1385.0,2.0,۴ از ۴,بازسازی نشده,35.682850437578,51.368997339197,1.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
12499999744,nosrat,118,,3.0,۳ از ۴,بازسازی شده,35.703244368388,51.390159035498,1.0,آسانسور ندارد,پارگینگ ندارد,انباری ندارد
7280000000,shahrak-e-ferdows,86,1403.0,2.0,۶ از ۱۱,بازسازی نشده,35.665212599587,51.329654067416,8.0,آسانسور دارد,پارگینگ دارد,انباری دارد
11000000512,emam-khomeyni-tehran,80,1394.0,2.0,۱ از ۶,بازسازی شده,35.687976837158,51.417419433594,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
9600000000,chitgar,82,1397.0,2.0,۱,بازسازی نشده,35.719895496665,51.146257719599,,آسانسور دارد,پارگینگ دارد,انباری دارد
11200000000,eram,60,1383.0,2.0,همکف,بازسازی شده,35.731521313277,51.283639781774,,آسانسور ندارد,پارگینگ دارد,انباری دارد
4200000000,vardavard,46,1400.0,1.0,۳,بازسازی نشده,35.73890205129,51.132653999568,,آسانسور دارد,پارگینگ دارد,انباری دارد
3500000000,shahr-e-ziba,65,1403.0,2.0,۲,بازسازی نشده,35.746765909153,51.29224916276,,آسانسور دارد,پارگینگ دارد,انباری دارد
13100000256,jeyhoun,103,1402.0,2.0,۱ از ۵,بازسازی شده,35.689468743353,51.364139101184,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
6499999744,east-tehranpars,50,1381.0,1.0,۱ از ۴,بازسازی نشده,35.744044745145,51.548967732591,8.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
8320000000,nezam-abad,65,1404.0,1.0,۳,بازسازی نشده,35.710636929267,51.455004024013,,آسانسور دارد,پارگینگ دارد,انباری ندارد
4390000128,shahr-e-ziba,65,1399.0,2.0,۳,بازسازی نشده,35.74690648516,51.292152591358,,آسانسور دارد,پارگینگ دارد,انباری دارد
3150000128,haftchenar,29,1399.0,1.0,۱ از ۴,بازسازی نشده,35.676063537597656,51.37010192871094,1.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
4649999872,shokoofeh,50,1380.0,1.0,همکف از ۴,بازسازی شده,35.681468149685,51.449681204932,,آسانسور ندارد,پارگینگ ندارد,انباری دارد
24000000000,central-janat-abad,93,1404.0,2.0,۳,بازسازی نشده,35.756018124578,51.300892665463,,آسانسور دارد,پارگینگ دارد,انباری دارد
10899999744,kooye-e-hefdahom-e-shahrivar,115,1402.0,2.0,۵,بازسازی نشده,35.663139884672,51.303407455499,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
